Volatility 3 Framework 2.27.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
1892	652	sysmon64.exe	0xbbb9a770	11	343	0	False	2018-08-30 05:14:47.000000 UTC	N/A	Disabled
1772	652	masvc.exe	0xbbdeb650	8	383	0	False	2018-08-30 05:14:47.000000 UTC	N/A	Disabled
5284	6444	explorer.exe	0xbc034060	19	686	5	False	2018-09-04 21:52:10.000000 UTC	N/A	Disabled
1572	652	HipMgmt.exe	0xbc4056c0	14	251	0	True	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
1548	652	svchost.exe	0xbc7e9700	11	220	0	False	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
5056	1332	rundll32.exe	0xbca6cb00	0	-	0	False	2018-08-31 20:23:08.000000 UTC	2018-08-31 20:23:29.000000 UTC	Disabled
1360	652	armsvc.exe	0xbcab08a0	4	72	0	True	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
1384	652	OfficeClickToR	0xbcae0b00	20	641	0	False	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
1464	652	svchost.exe	0xbcb6d600	10	150	0	False	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
1496	652	FireSvc.exe	0xbcb90b00	19	418	0	False	2018-08-30 05:14:46.000000 UTC	N/A	Disabled
1208	652	spoolsv.exe	0xbcf17b00	14	356	0	False	2018-08-30 05:14:45.000000 UTC	N/A	Disabled
6740	6908	winlogon.exe	0xbcf4a700	3	123	5	False	2018-09-04 21:51:59.000000 UTC	N/A	Disabled
1236	652	svchost.exe	0xbcf84060	19	323	0	False	2018-08-30 05:14:45.000000 UTC	N/A	Disabled
